ID,Age_Bin,Years_Since_Last_Promotion_Bin,Monthly_Income_Bin,Training_Hours_Last_Year_Bin,Distance_From_Home_Bin,Years_at_Company_Bin,Years_in_Current_Role_Bin,Project_Count_Bin,Absenteeism_Bin,Average_Hours_Worked_Per_Week_Bin,Hourly_Rate_Bin,Work_Life_Balance_Bin,Relationship_with_Manager_Bin,Job_Involvement_Bin,Job_Satisfaction_Bin,Performance_Rating_Bin,Work_Environment_Satisfaction_Bin,Job_Level_Bin,Number_of_Companies_Worked_Bin,Gender_Bin,Job_Role_Manager_Bin,Job_Role_Assistant_Bin,Department_HR_Bin,Department_Marketing_Bin,Marital_Status_Married_Bin,Attrition
1,46-60,3-5,<=30k,60+,20km+,20+,10+,7+,11+,46-60,81-100,Poor,Poor,Low,Moderate,Below Avg,Very High,Level 5,3-5,Male,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
2,46-60,3-5,<=30k,11-30,20km+,11-20,7-10,7+,6-10,46-60,41-60,Poor,Poor,Low,Low,Below Avg,Very High,Level 4,1-2,Female,Not Manager,Assistant,HR,Not Marketing,Not Married,Attrition_No
3,26-35,3-5,<=30k,60+,20km+,6-10,4-6,3-4,0-2,46-60,61-80,Excellent,Good,Medium,Very High,Below Avg,Low,Level 4,1-2,Female,Manager,Not Assistant,Not HR,Marketing,Married,Attrition_Yes
4,26-35,1-2,<=30k,0-10,20km+,11-20,7-10,7+,0-2,46-60,<=40,Poor,Good,Low,Very Low,Below Avg,High,Level 4,1-2,Female,Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
5,36-45,1-2,<=30k,60+,20km+,2-5,7-10,<=2,11+,46-60,81-100,Good,Poor,Low,High,Average,Low,Level 1,3-5,Male,Not Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
6,46-60,3-5,<=30k,60+,0-5km,20+,2-3,<=2,11+,31-45,61-80,Excellent,Average,High,Very High,Average,Moderate,Level 3,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_Yes
7,36-45,3-5,<=30k,60+,20km+,2-5,2-3,<=2,11+,46-60,61-80,Excellent,Average,High,Moderate,Good,High,Level 5,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_Yes
8,36-45,0,<=30k,60+,0-5km,11-20,7-10,3-4,6-10,31-45,41-60,Fair,Poor,High,High,Average,Moderate,Level 1,1-2,Female,Not Manager,Not Assistant,Not HR,Marketing,Married,Attrition_No
9,26-35,1-2,<=30k,31-60,20km+,11-20,7-10,7+,3-5,31-45,81-100,Fair,Average,Low,Moderate,Average,High,Level 4,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
10,26-35,3-5,<=30k,31-60,0-5km,11-20,10+,5-6,11+,31-45,41-60,Poor,Poor,Low,High,Average,Very High,Level 4,3-5,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
11,36-45,6-10,<=30k,60+,20km+,11-20,2-3,7+,6-10,46-60,81-100,Poor,Good,Medium,High,Average,Low,Level 3,3-5,Male,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
12,46-60,3-5,<=30k,60+,6-10km,20+,4-6,5-6,6-10,31-45,41-60,Fair,Poor,High,Very Low,Average,High,Level 4,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
13,46-60,3-5,<=30k,60+,20km+,11-20,10+,<=2,6-10,31-45,<=40,Good,Poor,Medium,Very Low,Below Avg,Low,Level 5,1-2,Female,Not Manager,Assistant,Not HR,Marketing,Married,Attrition_No
14,36-45,3-5,<=30k,31-60,6-10km,20+,2-3,5-6,6-10,46-60,<=40,Fair,Poor,Medium,Moderate,Good,Very High,Level 2,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
15,18-25,3-5,<=30k,31-60,20km+,11-20,10+,7+,11+,31-45,81-100,Fair,Poor,Low,Low,Below Avg,Very High,Level 4,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
16,36-45,6-10,<=30k,11-30,0-5km,20+,10+,7+,6-10,46-60,<=40,Excellent,Good,Low,High,Good,Low,Level 3,3-5,Male,Not Manager,Assistant,HR,Not Marketing,Not Married,Attrition_No
